物件名,路線名,駅名,駅までの距離（徒歩/分）,間取り,階,家賃,住所
コンポジット亀戸イースト,ＪＲ総武線,亀戸駅,5,1LDK,4,13.2,江東区亀戸４
 7階建 築8年,東京メトロ日比谷線,南千住駅,7,1LDK,2,11.9,台東区日本堤１
 14階建 築17年,都営大江戸線,新御徒町駅,5,1LDK,4,14.2,台東区小島１
YUNO ART KAMEIDO,ＪＲ総武線,亀戸駅,5,1LDK,4,14,江東区亀戸６
ラヴィーナ北上野,東京メトロ日比谷線,入谷駅,4,1LDK,13,13.2,台東区北上野２
 地下2地上8階建 築18年,東京メトロ日比谷線,三ノ輪駅,4,1LDK,5,11.9,台東区竜泉２
ウィンドシティ根岸,東京メトロ日比谷線,三ノ輪駅,6,1LDK,7,12.5,台東区根岸５
 8階建 築13年,都営大江戸線,新御徒町駅,7,1LDK,5,12.6,台東区台東２
ザ・レジデンス・オブ・トーキョーH20イーストタワー,東京メトロ日比谷線,三ノ輪駅,7,1LDK,7,13.9,台東区日本堤２
 14階建 築19年,東京メトロ日比谷線,入谷駅,2,1LDK,10,13.6,台東区北上野１
ルリアン大島,都営新宿線,東大島駅,6,1LDK,3,12.7,江東区大島７
 地下1地上5階建 新築,東京メトロ銀座線,浅草駅,7,1LDK,5,15,台東区浅草６
 10階建 築16年,都営新宿線,西大島駅,4,1LDK,5,11.7,江東区大島１
扇橋丸貞ビル,東京メトロ半蔵門線,住吉駅,7,1LDK,5,13.7,江東区扇橋２
エスティメゾン大島,都営新宿線,大島駅,2,1LDK,6,13,江東区大島５
グランエスタ,東京メトロ東西線,南砂町駅,2,1LDK,3,13,江東区新砂３
 8階建 築19年,東京メトロ銀座線,浅草駅,15,1LDK,7,11.5,台東区浅草５
